Instância lida com sucesso!
Gerando populaçao inicial (com grasp)
Tempo(s) para calcular populaçao inicial = 495.74
Geracao 1 Otimo = 19900.7
Geracao 2 Otimo = 19900.7
Geracao 3 Otimo = 19900.7
Geracao 4 Otimo = 19900.7
Geracao 5 Otimo = 19900.7
Geracao 6 Otimo = 19900.7
Geracao 7 Otimo = 17376.8
Geracao 8 Otimo = 17376.8
Geracao 9 Otimo = 17376.8
Geracao 10 Otimo = 17376.8
Geracao 11 Otimo = 17376.8
Geracao 12 Otimo = 17376.8
Geracao 13 Otimo = 17376.8
Geracao 14 Otimo = 17376.8
Geracao 15 Otimo = 17376.8
Geracao 16 Otimo = 17376.8
Geracao 17 Otimo = 17376.8
Geracao 18 Otimo = 17376.8
Geracao 19 Otimo = 17376.8
Geracao 20 Otimo = 17376.8
Geracao 21 Otimo = 17376.8
Geracao 22 Otimo = 17376.8
Geracao 23 Otimo = 17376.8
Geracao 24 Otimo = 17376.8
Geracao 25 Otimo = 17376.8
Geracao 26 Otimo = 17376.8
Geracao 27 Otimo = 17376.8
Geracao 28 Otimo = 17376.8
Geracao 29 Otimo = 17376.8
Geracao 30 Otimo = 17376.8
Geracao 31 Otimo = 17376.8
Geracao 32 Otimo = 17376.8
Geracao 33 Otimo = 17376.8
Geracao 34 Otimo = 17376.8
Geracao 35 Otimo = 17376.8
Geracao 36 Otimo = 17376.8
Geracao 37 Otimo = 17376.8
Geracao 38 Otimo = 17376.8
Geracao 39 Otimo = 17376.8
Geracao 40 Otimo = 17376.8
Geracao 41 Otimo = 17376.8
Geracao 42 Otimo = 17376.8
Geracao 43 Otimo = 17376.8
