Instância lida com sucesso!
Gerando populaçao inicial (com grasp)
Tempo(s) para calcular populaçao inicial = 222.17
Geracao 1 Otimo = 16209.9
Geracao 2 Otimo = 16148.3
Geracao 3 Otimo = 16148.3
Geracao 4 Otimo = 16148.3
Geracao 5 Otimo = 15958.6
Geracao 6 Otimo = 15958.6
Geracao 7 Otimo = 15958.6
Geracao 8 Otimo = 15958.6
Geracao 9 Otimo = 15958.6
Geracao 10 Otimo = 15958.6
Geracao 11 Otimo = 13261.8
Geracao 12 Otimo = 13261.8
Geracao 13 Otimo = 13261.8
Geracao 14 Otimo = 13261.8
Geracao 15 Otimo = 13261.8
Geracao 16 Otimo = 13261.8
Geracao 17 Otimo = 13261.8
Geracao 18 Otimo = 13261.8
Geracao 19 Otimo = 13261.8
Geracao 20 Otimo = 13261.8
