Optimize a model with 218863 rows, 132860 columns and 774833 nonzeros
Model has 380 quadratic objective terms
Coefficient statistics:
  Matrix range    [1e+00, 7e+02]
  Objective range [1e+02, 7e+02]
  Bounds range    [1e+00, 1e+05]
  RHS range       [1e+00, 5e+03]
Presolve removed 61061 rows and 29644 columns (presolve time = 5s) ...
Presolve removed 62438 rows and 29722 columns (presolve time = 10s) ...
Presolve removed 62438 rows and 29722 columns (presolve time = 15s) ...
Presolve removed 62438 rows and 29722 columns (presolve time = 20s) ...
Presolve removed 62438 rows and 29722 columns (presolve time = 25s) ...
Presolve removed 67736 rows and 33958 columns (presolve time = 30s) ...
Presolve removed 67736 rows and 33958 columns
Presolve time: 30.47s
Presolved: 151507 rows, 99282 columns, 623393 nonzeros
Variable types: 26235 continuous, 73047 integer (73047 binary)
Found heuristic solution: objective 5060.7000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -9.7386000e+04   2.386612e+03   0.000000e+00     34s
    9939    1.4045164e-04   3.014279e+03   0.000000e+00     35s
   17269    2.4189856e-04   7.271698e+03   0.000000e+00     40s
   19849    2.7474648e-04   3.901049e+04   0.000000e+00     46s
   20494    2.8641822e-04   1.481578e+05   0.000000e+00     50s
   21354    4.0449350e-04   1.040745e+05   0.000000e+00     56s
   21999    4.8366879e-04   1.177566e+05   0.000000e+00     61s
   22644    5.6170910e-04   5.288214e+04   0.000000e+00     67s
   23074    6.1692567e-04   1.713696e+05   0.000000e+00     70s
   23719    6.8965510e-04   9.745816e+04   0.000000e+00     77s
   24149    7.4797089e-04   1.105315e+05   0.000000e+00     81s
   24794    8.1427403e-04   1.855487e+05   0.000000e+00     87s
   25224    8.4831939e-04   1.583944e+05   0.000000e+00     91s
   25654    9.0135669e-04   7.121424e+04   0.000000e+00     95s
   26299    9.5014523e-04   5.941792e+04   0.000000e+00    102s
   26729    9.8124266e-04   1.766198e+05   0.000000e+00    106s
   27374    1.0318567e-03   6.288523e+04   0.000000e+00    112s
   27804    1.0651239e-03   8.319182e+04   0.000000e+00    116s
   28234    1.0975740e-03   8.648216e+04   0.000000e+00    120s
   28879    1.1587077e-03   9.893724e+04   0.000000e+00    126s
   29524    1.2021200e-03   9.423624e+04   0.000000e+00    132s
   29954    1.2286914e-03   3.807223e+04   0.000000e+00    136s
   30599    1.2944203e-03   5.707012e+04   0.000000e+00    141s
   31244    1.3315251e-03   1.535437e+04   0.000000e+00    147s
   31674    1.3539673e-03   4.574553e+04   0.000000e+00    151s
   32319    1.3810610e-03   3.988700e+04   0.000000e+00    157s
   32749    1.4012916e-03   1.543377e+04   0.000000e+00    161s
   33394    1.4280741e-03   2.546094e+04   0.000000e+00    166s
   33824    1.4480606e-03   9.434539e+03   0.000000e+00    170s
   34469    1.4669280e-03   1.262265e+04   0.000000e+00    176s
   34899    1.4818911e-03   1.418500e+04   0.000000e+00    180s
   35544    1.5045311e-03   4.712291e+04   0.000000e+00    186s
   35974    1.5167567e-03   2.922573e+04   0.000000e+00    190s
   36619    1.5340725e-03   1.844275e+04   0.000000e+00    196s
   37264    1.5508514e-03   1.861158e+04   0.000000e+00    202s
   37694    1.5615419e-03   1.425155e+04   0.000000e+00    205s
   38339    1.5733991e-03   6.279027e+04   0.000000e+00    211s
   38769    1.5819933e-03   1.554642e+04   0.000000e+00    215s
   39414    1.6021810e-03   6.059926e+04   0.000000e+00    221s
   39844    1.6083312e-03   5.953891e+04   0.000000e+00    225s
   40489    1.6169917e-03   2.312678e+04   0.000000e+00    232s
   40919    1.6220404e-03   6.312129e+04   0.000000e+00    236s
   41349    1.6317184e-03   1.742939e+04   0.000000e+00    240s
   41994    1.6454295e-03   4.818148e+04   0.000000e+00    246s
   42424    1.6515759e-03   2.654542e+04   0.000000e+00    251s
   42854    1.6580025e-03   1.305339e+04   0.000000e+00    255s
   43499    1.6668879e-03   1.126744e+04   0.000000e+00    262s
   43929    1.6720241e-03   1.015759e+04   0.000000e+00    266s
   44359    1.6776012e-03   3.862368e+04   0.000000e+00    271s
   44789    1.6827000e-03   1.668386e+04   0.000000e+00    275s
   45434    1.6900608e-03   9.849542e+03   0.000000e+00    282s
   45864    1.6944119e-03   3.031453e+04   0.000000e+00    286s
   46294    1.6993976e-03   1.537776e+04   0.000000e+00    291s
   46724    1.7040651e-03   1.259003e+04   0.000000e+00    295s
   47369    1.7114136e-03   1.164703e+04   0.000000e+00    302s
   47799    1.7154781e-03   3.393989e+04   0.000000e+00    306s
   48229    1.7214537e-03   3.837201e+04   0.000000e+00    311s
   48659    1.7276615e-03   7.582842e+03   0.000000e+00    315s
   49089    1.7315246e-03   1.487026e+04   0.000000e+00    320s
   49734    1.7403760e-03   1.092478e+04   0.000000e+00    327s
   50164    1.7444304e-03   1.424853e+04   0.000000e+00    331s
   50594    1.7484367e-03   2.101088e+04   0.000000e+00    336s
   51024    1.7529316e-03   5.174976e+03   0.000000e+00    341s
   51454    1.7561415e-03   1.645979e+04   0.000000e+00    346s
   51884    1.7597482e-03   1.622273e+04   0.000000e+00    350s
   52314    1.7630432e-03   9.415902e+03   0.000000e+00    355s
   52959    1.7680440e-03   6.719145e+03   0.000000e+00    362s
   53389    1.7705607e-03   6.618597e+04   0.000000e+00    367s
   53819    1.7741887e-03   3.126866e+04   0.000000e+00    372s
   54249    1.7788131e-03   2.396108e+04   0.000000e+00    376s
   54679    1.7829594e-03   1.496296e+04   0.000000e+00    381s
   55109    1.7859292e-03   3.169997e+04   0.000000e+00    386s
   55539    1.7896454e-03   4.266939e+04   0.000000e+00    391s
   55969    1.7951509e-03   1.043245e+04   0.000000e+00    396s
   56399    1.7987390e-03   1.771518e+04   0.000000e+00    401s
   56829    1.8035593e-03   6.547455e+03   0.000000e+00    405s
   57474    1.8075700e-03   2.268414e+04   0.000000e+00    412s
   57904    1.8108714e-03   5.336849e+03   0.000000e+00    417s
   58334    1.8153186e-03   8.356266e+03   0.000000e+00    422s
   58764    1.8176257e-03   9.650740e+03   0.000000e+00    426s
   59194    1.8202633e-03   8.621202e+03   0.000000e+00    431s
   59624    1.8235171e-03   4.087172e+03   0.000000e+00    436s
   60054    1.8270069e-03   1.340200e+04   0.000000e+00    441s
   60484    1.8289367e-03   2.744439e+03   0.000000e+00    446s
   60914    1.8316509e-03   9.222045e+03   0.000000e+00    451s
   61344    1.8339696e-03   1.064385e+04   0.000000e+00    456s
   61774    1.8850327e-03   1.152086e+04   0.000000e+00    461s
   62204    1.9090488e-03   2.073042e+04   0.000000e+00    466s
   62634    1.9345238e-03   6.918134e+03   0.000000e+00    470s
   63064    1.9461855e-03   3.733595e+04   0.000000e+00    475s
   63494    1.9582192e-03   1.354580e+04   0.000000e+00    480s
   63924    1.9692121e-03   1.300848e+04   0.000000e+00    485s
   64354    1.9794064e-03   1.887941e+05   0.000000e+00    491s
   64784    1.9923183e-03   8.716083e+03   0.000000e+00    496s
   65214    2.0056309e-03   3.299230e+04   0.000000e+00    501s
   65644    2.0173140e-03   1.073318e+04   0.000000e+00    506s
   66074    2.0295484e-03   3.997655e+04   0.000000e+00    511s
   66504    2.0411778e-03   1.339511e+04   0.000000e+00    516s
   66934    2.0513873e-03   1.281479e+04   0.000000e+00    521s
   67364    2.0611314e-03   1.634765e+04   0.000000e+00    527s
   67794    2.0720792e-03   1.213209e+04   0.000000e+00    532s
   68224    2.0817490e-03   6.985274e+04   0.000000e+00    537s
   68654    2.0900574e-03   6.217831e+03   0.000000e+00    542s
   69084    2.0997093e-03   1.218249e+04   0.000000e+00    548s
   69299    2.1037642e-03   7.784478e+03   0.000000e+00    550s
   69729    2.1134552e-03   5.311596e+03   0.000000e+00    555s
   70159    2.1213092e-03   2.591251e+04   0.000000e+00    561s
   70589    2.1288445e-03   1.222173e+04   0.000000e+00    566s
   71019    2.1364815e-03   1.081475e+04   0.000000e+00    571s
   71449    2.1437625e-03   1.306633e+04   0.000000e+00    577s
   71879    2.1524075e-03   1.042336e+04   0.000000e+00    582s
   72309    2.1598149e-03   1.662216e+04   0.000000e+00    587s
   72739    2.1673804e-03   9.459735e+03   0.000000e+00    592s
   72954    2.1708482e-03   7.525332e+03   0.000000e+00    595s
   73384    2.1815991e-03   5.606878e+03   0.000000e+00    600s
   73814    2.1884889e-03   2.094001e+04   0.000000e+00    606s
   74244    2.1959053e-03   4.876700e+04   0.000000e+00    611s
   74674    2.2024311e-03   1.142666e+04   0.000000e+00    616s
   75104    2.2097984e-03   1.329598e+04   0.000000e+00    622s
   75534    2.2169745e-03   1.089031e+04   0.000000e+00    627s
   75964    2.2237559e-03   4.646874e+03   0.000000e+00    633s
   76179    2.2282508e-03   1.612280e+04   0.000000e+00    635s
   76609    2.2387627e-03   1.283764e+05   0.000000e+00    640s
   77039    2.2481356e-03   6.109490e+04   0.000000e+00    646s
   77469    2.2574051e-03   1.016158e+05   0.000000e+00    651s
   77899    2.2651889e-03   2.488510e+04   0.000000e+00    656s
   78329    2.2716280e-03   4.762692e+03   0.000000e+00    662s
   78759    2.2832873e-03   1.117800e+05   0.000000e+00    667s
   79189    2.2913311e-03   5.206326e+03   0.000000e+00    672s
   79404    2.2939123e-03   7.464974e+04   0.000000e+00    675s
   79834    2.2991501e-03   2.230268e+04   0.000000e+00    681s
   80264    2.3048715e-03   6.683945e+03   0.000000e+00    686s
   80694    2.3107512e-03   4.628190e+04   0.000000e+00    692s
   81124    2.3175230e-03   2.573155e+04   0.000000e+00    697s
   81339    2.3204363e-03   9.461785e+04   0.000000e+00    700s
   81769    2.3259871e-03   1.683678e+04   0.000000e+00    706s
   82199    2.3328298e-03   4.874487e+03   0.000000e+00    711s
   82629    2.3391126e-03   6.123443e+03   0.000000e+00    717s
   83059    2.3441642e-03   1.158290e+04   0.000000e+00    722s
   83274    2.3470887e-03   4.182026e+03   0.000000e+00    725s
   83704    2.3532534e-03   1.006415e+04   0.000000e+00    731s
   84134    2.3584437e-03   5.167552e+04   0.000000e+00    736s
   84564    2.3625135e-03   4.767016e+03   0.000000e+00    742s
   84994    2.3669912e-03   8.632119e+03   0.000000e+00    747s
   85424    2.3724095e-03   2.056833e+04   0.000000e+00    753s
   85639    2.3749632e-03   5.549903e+03   0.000000e+00    756s
   86069    2.3804738e-03   1.571046e+04   0.000000e+00    761s
   86499    2.3853427e-03   7.390605e+04   0.000000e+00    767s
   86929    2.3914666e-03   1.034820e+04   0.000000e+00    772s
   87359    2.3956427e-03   7.082057e+04   0.000000e+00    778s
   87574    2.3977053e-03   2.937398e+04   0.000000e+00    780s
   88004    2.4019269e-03   1.081862e+04   0.000000e+00    786s
   88434    2.4133462e-03   1.557394e+04   0.000000e+00    791s
   88864    2.4186737e-03   5.340608e+03   0.000000e+00    797s
   89294    2.4282018e-03   5.374106e+03   0.000000e+00    802s
   89724    2.4342951e-03   5.120450e+03   0.000000e+00    807s
   89939    2.4387475e-03   3.903540e+03   0.000000e+00    810s
   90369    2.4441162e-03   6.413634e+03   0.000000e+00    816s
   90799    2.4498326e-03   1.141256e+04   0.000000e+00    821s
   91229    2.4536853e-03   2.519960e+04   0.000000e+00    827s
   91659    2.4575032e-03   2.410816e+04   0.000000e+00    832s
   92089    2.4700469e-03   3.696999e+03   0.000000e+00    837s
   92304    2.4717408e-03   2.049895e+04   0.000000e+00    840s
   92734    2.4758035e-03   1.241478e+04   0.000000e+00    846s
   93164    2.4816328e-03   6.349899e+03   0.000000e+00    851s
   93594    2.4864000e-03   9.658847e+03   0.000000e+00    856s
   94024    2.4921243e-03   8.143604e+03   0.000000e+00    862s
   94454    2.4967746e-03   5.493320e+03   0.000000e+00    867s
